Date,Crackwidth,With_temp,Rainfall
19841105,0.0,17.85,1000000.0
19841106,0.0,19.66,1000000.0
19841107,0.0,20.8,1000000.0
19841108,0.0,21.67,1000000.0
19841109,-0.01,22.21,1000000.0
19841110,-0.03,21.94,1000000.0
19841119,-0.05,25.09,1000000.0
19850625,0.85,16.31,1000000.0
19850712,0.86,15.77,1000000.0
19850808,1.0,15.16,1000000.0
19850920,1.06,14.76,1000000.0
19851016,1.01,14.49,1000000.0
19851122,1.07,14.09,1000000.0
19851216,1.15,13.09,1000000.0
19860218,1.64,9.86,1000000.0
19860317,1.76,8.52,1000000.0
19860416,1.79,7.92,1000000.0
19860523,1.82,7.51,1000000.0
19860624,1.87,8.05,1000000.0
19860717,1.89,8.05,1000000.0
19860818,1.87,8.39,1000000.0
19860916,1.87,8.39,1000000.0
19861001,1.89,8.32,1000000.0
19861018,1.89,8.45,1000000.0
19861023,1.92,8.39,1000000.0
19861104,1.89,8.19,1000000.0
19861108,1.86,8.05,1000000.0
19861112,1.89,8.25,1000000.0
19861120,1.86,8.05,1000000.0
19861205,1.86,7.99,1000000.0
19861230,1.86,8.05,1000000.0
19870116,1.86,7.99,1000000.0
19870209,1.89,7.45,1000000.0
19870223,1.91,7.25,1000000.0
19870313,1.92,7.11,1000000.0
19870321,1.86,7.05,1000000.0
19870413,1.89,7.18,1000000.0
19870514,1.87,6.78,1000000.0
19870710,1.83,6.84,1000000.0
19870812,1.85,7.11,1000000.0
19870908,1.85,7.72,1000000.0
19870921,2.01,8.12,1000000.0
19871019,1.87,8.32,1000000.0
19871119,1.84,8.66,1000000.0
19871203,1.92,8.79,1000000.0
19871217,1.98,8.72,1000000.0
19880104,2.02,8.66,1000000.0
19880118,1.98,8.86,1000000.0
19880202,1.92,8.86,1000000.0
19880309,1.91,8.99,1000000.0
19880321,1.96,8.72,1000000.0
19880406,1.93,8.52,1000000.0
19880418,1.9,8.39,1000000.0
19880505,1.94,8.45,1000000.0
19880519,1.92,8.39,1000000.0
19880623,1.92,7.58,1000000.0
19880712,1.92,6.51,1000000.0
19880722,1.9,7.05,1000000.0
19880805,1.98,7.65,1000000.0
19880818,1.83,7.99,1000000.0
19880905,1.85,8.25,1000000.0
19880918,1.82,8.25,1000000.0
19881007,1.91,8.59,1000000.0
19881021,1.9,8.99,1000000.0
19881108,1.83,9.06,1000000.0
19881121,1.82,9.19,1000000.0
19881208,1.89,9.6,1000000.0
19881221,1.89,9.73,1000000.0
19890106,1.91,9.8,1000000.0
19890120,1.92,9.66,1000000.0
19890218,1.91,9.46,1000000.0
19890306,1.91,9.39,1000000.0
19890322,2.22,6.04,1000000.0
19890406,2.24,6.24,1000000.0
19890420,2.31,4.76,1000000.0
19890510,1.94,8.86,1000000.0
19890522,1.97,8.99,1000000.0
19891004,1.71,9.19,1000000.0
19891020,1.84,9.66,1000000.0
19891109,1.85,10.4,1000000.0
19891124,1.84,10.33,1000000.0
19891214,1.86,10.47,1000000.0
19891223,1.87,10.6,1000000.0
19900106,1.98,10.2,1000000.0
19900116,1.97,10.27,1000000.0
19900212,1.86,10.06,1000000.0
19900223,1.94,9.93,1000000.0
19900309,1.97,9.73,1000000.0
19900323,1.98,9.93,1000000.0
19900411,1.91,9.6,1000000.0
19900424,1.92,9.46,1000000.0
19900427,1.9,9.6,1000000.0
19900511,1.94,9.66,1000000.0
19900523,1.97,9.46,1000000.0
19900611,1.1,11.07,1000000.0
19900626,1.12,11.0,1000000.0
19900712,1.89,9.66,1000000.0
19900721,1.92,10.0,1000000.0
19900808,1.91,9.93,1000000.0
19900821,1.9,10.06,1000000.0
19900905,1.91,10.06,1000000.0
19901004,1.94,10.6,1000000.0
19901019,1.89,10.53,1000000.0
19901110,1.91,10.53,1000000.0
19901122,1.86,10.53,1000000.0
19901206,1.87,10.67,1000000.0
19901212,1.83,10.74,1000000.0
19910110,1.94,10.8,1000000.0
19910124,1.94,10.47,1000000.0
19910201,1.86,10.6,1000000.0
19910308,1.89,10.53,1000000.0
19910322,1.85,10.27,1000000.0
19910412,1.83,10.0,1000000.0
19910419,1.84,10.13,1000000.0
19910509,1.9,9.73,1000000.0
19910524,1.86,9.93,1000000.0
19910614,1.75,10.0,1000000.0
19910625,1.78,10.13,1000000.0
19910712,1.82,9.93,1000000.0
19910724,1.91,10.2,1000000.0
19910813,1.89,10.27,1000000.0
19910825,2.02,10.13,1000000.0
19910911,1.93,10.13,1000000.0
19910919,1.93,10.2,1000000.0
19911008,1.92,10.6,1000000.0
19911023,1.87,10.6,1000000.0
19911108,1.91,10.67,1000000.0
19911122,1.91,10.66,1000000.0
19911206,1.91,10.74,1000000.0
19911220,1.97,10.6,1000000.0
19920110,1.94,10.53,1000000.0
19920120,1.97,10.4,1000000.0
19920221,1.89,10.33,1000000.0
19920302,1.93,10.06,1000000.0
19920324,1.9,10.47,1000000.0
19920416,1.91,9.8,1000000.0
19920509,1.91,9.6,1000000.0
19920521,1.92,9.86,1000000.0
19920606,1.9,9.66,1000000.0
19920616,1.92,9.8,1000000.0
19920715,1.91,9.66,1000000.0
19920725,1.91,9.8,1000000.0
19920812,1.94,9.93,1000000.0
19920824,1.92,9.8,1000000.0
19920911,1.91,10.06,1000000.0
19920926,1.89,9.93,1000000.0
19921012,1.81,10.06,1000000.0
19921027,1.93,10.13,1000000.0
19921106,1.92,10.33,1000000.0
19921116,1.89,10.33,1000000.0
19921208,1.92,10.47,1000000.0
19921217,1.91,10.53,1000000.0
19930105,1.91,10.53,1000000.0
19930115,1.92,10.53,1000000.0
19930211,1.93,9.93,1000000.0
19930224,1.92,10.47,1000000.0
19930311,2.32,9.8,1000000.0
19930325,1.92,8.25,1000000.0
19930412,1.89,10.2,1000000.0
19930421,1.92,10.13,1000000.0
19930506,1.89,9.93,1000000.0
19930526,1.91,9.86,1000000.0
19930603,1.91,9.93,1000000.0
19930626,1.91,9.86,1000000.0
19930713,1.9,9.86,1000000.0
19930723,1.91,9.8,1000000.0
19930803,1.93,10.0,1000000.0
19930823,1.93,10.06,1000000.0
19930902,2.18,10.13,1000000.0
19930914,1.94,10.06,1000000.0
19930922,1.92,10.33,1000000.0
