Date,Upstream,Downstream,Temprate,Rainfall
19861031,2491.98,2447.52,1.000,1000000.0
19861101,2492.63,2447.52,0.600,1000000.0
19861102,2493.28,2447.52,2.200,1000000.0
19861103,2493.86,2447.52,1.100,1000000.0
19861104,2494.27,2447.52,-0.300,1000000.0
19861105,2494.91,2447.52,-0.300,1000000.0
19861106,2495.52,2447.52,0.700,1000000.0
19861107,2495.99,2447.52,-1.000,1000000.0
19861108,2496.58,2447.52,-5.800,1000000.0
19861109,2497.01,2447.52,-5.800,1000000.0
19861110,2497.42,2447.52,-4.400,1000000.0
19861111,2497.85,2447.52,-0.500,1000000.0
19861112,2498.31,2447.52,-2.200,1000000.0
19861113,2498.76,2447.52,-0.200,1000000.0
19861114,2499.04,2447.52,-1.600,1000000.0
19861115,2499.36,2447.52,-0.600,1000000.0
19861116,2499.73,2447.52,-1.300,1000000.0
19861117,2500.09,2447.52,-0.100,1000000.0
19861118,2500.41,2447.52,-3.100,1000000.0
19861119,2500.76,2447.52,-5.400,1000000.0
19861120,2501.16,2447.52,3.600,1000000.0
19861121,2501.5,2447.52,-1.600,1000000.0
19861122,2501.81,2447.52,0.300,1000000.0
19861123,2502.05,2447.52,-1.300,1000000.0
19861124,2502.49,2447.52,-4.500,1000000.0
19861125,2502.7,2447.52,-4.800,1000000.0
19861126,2503.0,2447.52,-4.200,1000000.0
19861127,2503.28,2447.52,-5.100,1000000.0
19861128,2503.59,2447.52,-4.200,1000000.0
19861129,2503.87,2447.52,-4.000,1000000.0
19861130,2504.13,2447.52,-4.800,1000000.0
19861201,2504.38,2447.52,-3.200,1000000.0
19861202,2504.65,2447.52,-6.200,1000000.0
19861203,2504.85,2447.52,-8.400,1000000.0
19861204,2505.08,2447.52,-5.400,1000000.0
19861205,2505.36,2447.52,-2.200,1000000.0
19861206,2505.54,2447.52,-1.600,1000000.0
19861207,2505.73,2447.52,-4.400,1000000.0
19861208,2505.96,2447.52,-2.300,1000000.0
19861209,2506.16,2447.52,-6.200,1000000.0
19861210,2506.33,2447.52,-7.500,1000000.0
19861211,2506.52,2447.52,-7.900,1000000.0
19861212,2506.72,2447.52,-4.200,1000000.0
19861213,2506.89,2447.52,-6.200,1000000.0
19861214,2507.04,2447.52,-6.800,1000000.0
19861215,2507.19,2447.52,-7.400,1000000.0
19861216,2507.33,2447.52,-6.900,1000000.0
19861217,2507.52,2447.52,-8.500,1000000.0
19861218,2507.73,2447.52,-13.200,1000000.0
19861219,2507.91,2447.52,-12.000,1000000.0
19861220,2508.07,2447.58,-14.400,1000000.0
19861221,2508.21,2447.52,-14.500,1000000.0
19861222,2508.34,2447.52,-15.100,1000000.0
19861223,2508.49,2447.52,-14.900,1000000.0
19861224,2508.64,2447.52,-13.000,1000000.0
19861225,2508.77,2447.52,-16.400,1000000.0
19861226,2508.91,2447.52,-11.200,1000000.0
19861227,2509.07,2447.52,-13.900,1000000.0
19861228,2509.22,2447.52,-15.000,1000000.0
19861229,2509.33,2447.52,-14.400,1000000.0
19861230,2509.45,2447.52,-13.500,1000000.0
19861231,2509.57,2447.52,-12.200,1000000.0
19870101,2509.69,2447.52,-10.100,1000000.0
19870102,2509.82,2447.52,-12.600,1000000.0
19870103,2509.93,2447.52,-15.600,1000000.0
19870104,2510.05,2447.52,-13.800,1000000.0
19870105,2510.16,2447.52,-13.000,1000000.0
19870106,2510.27,2447.52,-10.000,1000000.0
19870107,2510.37,2447.52,-11.400,1000000.0
19870108,2510.49,2447.52,-12.600,1000000.0
19870109,2510.58,2447.52,-11.700,1000000.0
19870110,2510.67,2447.52,-12.100,1000000.0
19870111,2510.75,2447.52,-9.300,1000000.0
19870112,2510.87,2447.52,-11.800,1000000.0
19870113,2510.95,2447.52,-11.200,1000000.0
19870114,2511.09,2447.52,-11.200,1000000.0
19870115,2511.22,2447.52,-4.800,1000000.0
19870116,2511.31,2447.52,-6.100,1000000.0
19870117,2511.4,2447.52,-6.800,1000000.0
19870118,2511.5,2447.52,-4.700,1000000.0
19870119,2511.59,2447.52,-7.600,1000000.0
19870120,2511.68,2447.52,-7.400,1000000.0
19870121,2511.75,2447.52,-3.900,1000000.0
19870122,2511.82,2447.52,-3.200,1000000.0
19870123,2511.9,2447.52,-8.000,1000000.0
19870124,2511.97,2447.52,-6.900,1000000.0
19870125,2512.06,2447.52,-8.500,1000000.0
19870126,2512.14,2447.52,-10.700,1000000.0
19870127,2512.22,2447.52,-8.600,1000000.0
19870128,2512.31,2447.52,-6.300,1000000.0
19870129,2512.39,2447.52,-4.700,1000000.0
19870130,2512.49,2447.52,-5.000,1000000.0
19870131,2512.58,2447.52,-5.600,1000000.0
19870201,2512.68,2447.52,-6.300,1000000.0
19870202,2512.79,2447.52,-6.800,1000000.0
19870203,2512.9,2447.52,-5.800,1000000.0
19870204,2513.03,2447.52,-6.000,1000000.0
19870205,2513.18,2447.52,-2.100,1000000.0
19870206,2513.32,2447.52,-4.800,1000000.0
19870207,2513.44,2447.52,-4.200,1000000.0
19870208,2513.58,2447.52,-1.600,1000000.0
19870209,2513.71,2447.52,-1.800,1000000.0
19870210,2513.83,2447.52,-1.200,1000000.0
19870211,2513.96,2447.52,-2.800,1000000.0
19870212,2514.07,2447.52,-5.900,1000000.0
19870213,2514.18,2447.52,-2.600,1000000.0
19870214,2514.29,2447.52,2.800,1000000.0
19870215,2514.42,2447.52,0.400,1000000.0
19870216,2514.41,2447.52,0.900,1000000.0
19870217,2514.07,2451.35,-0.600,1000000.0
19870218,2513.76,2451.3,-2.500,1000000.0
19870219,2513.25,2451.3,-4.500,1000000.0
19870220,2512.9,2450.92,-3.300,1000000.0
19870221,2512.5,2450.87,-4.600,1000000.0
19870222,2512.17,2450.82,-4.900,1000000.0
19870223,2511.86,2450.72,-2.600,1000000.0
19870224,2511.55,2449.04,-1.400,1000000.0
19870225,2511.23,2449.02,-0.800,1000000.0
19870226,2510.57,2449.0,-1.300,1000000.0
19870227,2510.25,2449.02,-3.600,1000000.0
19870228,2509.85,2449.03,-1.100,1000000.0
19870301,2509.12,2449.01,-1.100,1000000.0
19870302,2508.72,2448.99,-1.800,1000000.0
19870303,2508.32,2448.98,-1.800,1000000.0
19870304,2507.92,2448.98,-2.800,1000000.0
19870305,2507.54,2448.98,-1.000,1000000.0
19870306,2507.17,2448.98,1.200,1000000.0
19870307,2506.8,2448.98,2.900,1000000.0
19870308,2506.4,2448.98,3.300,1000000.0
19870309,2505.99,2448.97,2.800,1000000.0
19870310,2505.62,2448.97,-0.100,1000000.0
19870311,2505.26,2448.97,2.900,1000000.0
19870312,2504.91,2448.96,2.300,1000000.0
19870313,2504.54,2448.96,2.300,1000000.0
19870314,2504.16,2448.96,2.000,1000000.0
19870315,2503.77,2448.93,1.100,1000000.0
19870316,2503.39,2448.9,3.400,1000000.0
19870317,2503.0,2448.89,4.200,1000000.0
19870318,2502.62,2448.87,2.100,1000000.0
19870319,2502.26,2448.88,2.600,1000000.0
19870320,2501.92,2448.86,5.700,1000000.0
19870321,2501.58,2448.85,3.900,1000000.0
19870322,2501.21,2448.84,4.900,1000000.0
19870323,2500.86,2448.84,6.300,1000000.0
19870324,2500.5,2449.3,2.200,1000000.0
19870325,2500.14,2448.85,0.300,1000000.0
19870326,2499.2,2448.85,5.100,1000000.0
19870327,2499.48,2448.85,5.400,1000000.0
19870328,2499.2,2448.86,7.200,1000000.0
19870329,2498.89,2448.86,11.200,1000000.0
19870330,2498.54,2448.86,8.900,1000000.0
19870331,2498.23,2448.85,4.800,1000000.0
19870401,2497.94,2448.86,4.100,1000000.0
19870402,2497.65,2448.85,3.100,1000000.0
19870403,2497.36,2448.85,6.300,1000000.0
